phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
корпусная мебель из белоруссии;Белорусская мебель;общий;;41;23;40;;2;/catalog/korpusnaya-mebel;arsenkin_sem+expand+keysso
диван инфинити;Диваны;общий;;749;23;;;13;/catalog/myagkaya-mebel/divanyi/uglovoy-divan-infiniti;arsenkin_sem+keysso
портомебель официальный сайт каталог;Мебель общ.;коммерческий;;54;23;;;43;/;arsenkin_sem+keysso
кресло в стиле модерн;Кресла;общий;;71;23;;;12;/catalog/myagkaya-mebel/kresla/f/stil--modern;arsenkin_sem+keysso
купить кровать с выдвижными ящиками;Кровати;коммерческий;;782;23;;;34;/catalog/korpusnaya-mebel/krovati/f/s_yashhikom--est;arsenkin_sem+keysso
каталог кухонных гарнитуров фото и цены;Кухни;коммерческий;;368;23;;;17;/catalog/kuhni;arsenkin_sem+keysso
большой журнальный стол в гостиную;Гостиные и стенки;общий;;31;23;;;36;/catalog/korpusnaya-mebel/stolyi/f/type--stol-jurnalnyiy;arsenkin_sem+keysso
деревянные современные кухни;Кухни;общий;;490;23;;;13;/catalog/kuhni;arsenkin_sem+keysso
кресло из рогожки;Кресла;общий;;169;23;;;28;/catalog/myagkaya-mebel/kresla/f/obivka--rogojka;arsenkin_sem+keysso
сосновская фабрика мебели кухни каталог цены;Кухни;коммерческий;;32;23;;;35;/catalog/kuhni;arsenkin_sem+keysso
спальный гарнитур калининград;Спальни;общий;да;258;23;;;35;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
пинтерест кресло;Кресла;общий;;534;23;;;11;/blog/novinki-stilnyih-kresel-kak-v-pinterest;arsenkin_sem+keysso
шкаф дуб каньон;Шкафы;общий;;812;23;;;35;/catalog/korpusnaya-mebel/shkafyi/shkaf-kanon-loft-p3-0561-0-19-39/karkasspodsvetkoydubkanonchёrnyiy;arsenkin_sem+keysso
диван домашний;Диваны;общий;;40951;23;;20;21;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
одноместная кровать тахта;Тахты и кушетки;общий;;38;23;;;35;/catalog/myagkaya-mebel/tahtyi/f/kolichestvo_spalnyih_mest--1_spalnoe;arsenkin_sem+keysso
товары из белоруссии интернет магазин;Белорусская мебель;коммерческий;;69;23;;;27;/;arsenkin_sem+keysso
диван 3х местный;Диваны;общий;;836;23;;;14;/catalog/myagkaya-mebel/divanyi/f/type--3-h-mestnyiy-divan;arsenkin_sem+keysso
премиум мебель официальный сайт каталог;Мебель общ.;коммерческий;;34;23;;;36;/catalog/myagkaya-mebel/divanyi-premium;arsenkin_sem+keysso
диван с длинной оттоманкой;Диваны;общий;;91;23;;;9;/catalog/myagkaya-mebel/divanyi/f/nalichie_ottomanki--est;arsenkin_sem+keysso
дельфин мебель;Мебель общ.;общий;;387;23;;;47;/catalog/myagkaya-mebel/divanyi/f/transformation--delfin;arsenkin_sem+keysso
