phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
кухня из белоруссии на заказ от производителя;Кухни;коммерческий;;15;12;;;6;/catalog/kuhni/kuhni-pod-zakaz;arsenkin_sem+keysso
фасад неоклассика;Кухни;общий;;319;12;;;34;/catalog/kuhni/f/stil--neoklassika;arsenkin_sem+keysso
тумба версаль;Комоды и тумбы;общий;;308;12;;;20;/catalog/korpusnaya-mebel/tumbyi/tumba-prikrovatnaya-versal-bm2-777-1-30;arsenkin_sem+keysso
тумба под тв фото;Комоды и тумбы;инфо;;407;12;;;29;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-pod-televizor;arsenkin_sem+keysso
стул sabina;Столы и стулья;общий;;58;12;;;30;/catalog/korpusnaya-mebel/stulya/stul-sabrina-s-p5-0335-5-01;arsenkin_sem+keysso
журнальный столик дуб;Столы и стулья;общий;;1080;12;;;28;/catalog/korpusnaya-mebel/stolyi/stol-jurnalnyiy-verdi-1-p-108-01/dubrustikalspatinirovaniem;arsenkin_sem+keysso
шкаф нортон пинскдрев;Бренд;бренд;;16;12;;;3;/catalog/korpusnaya-mebel/shkafyi/shkaf-kupe-2d-norton-bm2-768-1-22;arsenkin_sem+keysso
купить угловой шкаф в ами мебель цены и фото;Диваны угловые;коммерческий;;12;12;;;45;/catalog/korpusnaya-mebel/shkafyi/f/type--shkaf-uglovoy;arsenkin_sem+keysso
шкаф витрина с выдвижными ящиками;Шкафы;общий;;45;12;;;33;/catalog/korpusnaya-mebel/shkafyi/f/type--shkaf-s-vitrinoy;arsenkin_sem+keysso
сервизный шкаф;Шкафы;общий;;15;12;;;27;/catalog/korpusnaya-mebel/shkafyi/f/naznachenie--dlya_posudyi;arsenkin_sem+keysso
комплект мебели для спальни купить в москве;Спальни;коммерческий;да;12;12;;;33;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
купить спальню пинскдрев каталог с ценами;Бренд;бренд;;18;12;;;1;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
кровать лайн;Кровати;общий;;319;12;;;7;/catalog/korpusnaya-mebel/krovati/krovat-odinarnaya-layn-p620-17/kamenseryiydubvotanchёrnyiy2000x900mm;arsenkin_sem+keysso
кровать хлоя;Кровати;общий;;381;12;;;23;/catalog/korpusnaya-mebel/krovati/krovat-hloya;arsenkin_sem+keysso
кровать вайб;Кровати;общий;;194;12;;;1;/catalog/korpusnaya-mebel/krovati/krovat-dvoynaya-vayb-01;arsenkin_sem+keysso
лучшие модульные кухни рейтинг;Диваны модульные;инфо;;14;12;;;40;/blog/top-samyih-populyarnyih-kuhon-v-2023-godu;arsenkin_sem+keysso
как отделить кухонную зону от гостиной;Кухни;инфо;;15;12;;;30;/blog/proverennyie-sposobyi-otdelit-kuhnyu-ot-gostinoy-v-kvartire-studii;arsenkin_sem+keysso
multipocket;Прочее;общий;;833;12;;;26;/blog/obzor-prujinnyih-blokov-dlya-matrasov;arsenkin_sem+keysso
пружинный блок pocket spring что это;Матрасы;общий;;22;12;;;10;/blog/obzor-prujinnyih-blokov-dlya-matrasov;arsenkin_sem+keysso
виды пружинных блоков для матрасов;Матрасы;инфо;;21;12;;;9;/blog/obzor-prujinnyih-blokov-dlya-matrasov;arsenkin_sem+keysso
системы диванов механизмы с названиями;Диваны;общий;;12;12;;;5;/blog/kakie-byivayut-mehanizmyi-divanov;arsenkin_sem+keysso
как работает кровать с подъемным механизмом;Кровати;инфо;;104;12;;;31;/blog/kak-vyibrat-krovat-s-pody-mnyim-mehanizmom;arsenkin_sem+keysso
диван посередине комнаты;Диваны;общий;;205;12;;;34;/blog/kak-raspolojit-uglovoy-divan-v-gostinoy;arsenkin_sem+keysso
комната в розовом стиле;Прочее;общий;;263;12;;;15;/blog/dizayn-spalni-v-rozovyih-tonah;arsenkin_sem+keysso
оливковый цвет стен в спальне;Спальни;инфо;;47;12;;;9;/blog/dizayn-spalni-v-olivkovyih-tonah;arsenkin_sem+keysso
спальня с гардеробом в современном стиле;Спальни;общий;;16;12;;;11;/blog/dizayn-spalni-s-garderobnoy;arsenkin_sem+keysso
риннэр мебель официальный сайт;Мебель общ.;коммерческий;;12;12;;;43;/;arsenkin_sem+keysso
лидер массив мебель официальный сайт;Мебель из массива;коммерческий;;18;12;;;38;/;arsenkin_sem+keysso
фабрика мебели сайт;Фабрика/производитель;общий;;18381;12;;22;26;/;arsenkin_sem+keysso
фабрика п;Фабрика/производитель;общий;;3834;12;;10;9;/;arsenkin_sem+keysso
фабричная мебель белорусского производства;Белорусская мебель;общий;;16;12;;;1;/;arsenkin_sem+keysso
диван тахта купить в москве недорого распродажа;Тахты и кушетки;коммерческий;да;32;12;;;33;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+keysso
кресло для девочки в комнату;Кресла;общий;;175;12;;;34;/catalog/myagkaya-mebel/kresla/f/naznachenie--v_detskuyu;arsenkin_sem+keysso
кресло беларусь;Кресла;общий;;2739;12;;10;1;/catalog/myagkaya-mebel/kresla;arsenkin_sem+keysso
диван otto;Диваны;общий;;111;12;;;14;/catalog/myagkaya-mebel/divanyi/uglovoy-divan-otto-25mr-90-10-18ml;arsenkin_sem+keysso
марракеш пинскдрев;Бренд;бренд;;162;12;;;1;/catalog/myagkaya-mebel/divanyi/uglovoy-divan-marrakesh-15l-r-8r-l;arsenkin_sem+keysso
диван нераскладной для сна;Диваны;общий;;63;12;;;27;/catalog/myagkaya-mebel/divanyi/f/po_nalichiyu_transformatsii--ne_raskladnoy;arsenkin_sem+keysso
белорусские кожаные диваны;Диваны кожаные;общий;;117;12;;;1;/catalog/myagkaya-mebel/divanyi/f/material--naturalnaya_kozha;arsenkin_sem+keysso
диван омега 3;Диваны;общий;;38;12;;;6;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-omega;arsenkin_sem+keysso
диван честерфильд;Диваны;общий;;54;12;;;17;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-chesterfild;arsenkin_sem+keysso
угловой диван дельфин купить в москве;Диваны угловые;коммерческий;да;39;12;;;27;/catalog/myagkaya-mebel/divanyi-uglovyie/f/transformation--delfin;arsenkin_sem+keysso
диваны с подушками фото;Диваны;инфо;;460;12;;;5;/catalog/myagkaya-mebel/divanyi-uglovyie/f/podushki_v_komplekte--est;arsenkin_sem+keysso
савлуков мебель каталог с ценами угловые диваны;Диваны угловые;коммерческий;;18;12;;;29;/catalog/myagkaya-mebel/divanyi-uglovyie/f/obivka--naturalnaya_koja;arsenkin_sem+keysso
диван с ящиком для белья купить в москве;Диваны;коммерческий;да;183;12;;;31;/catalog/myagkaya-mebel/divanyi-pryamyie/f/s_yashhikom--est;arsenkin_sem+keysso
диван софа бай;Тахты и кушетки;общий;;15;12;;;28;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
купить диван белорецк;Диваны;коммерческий;;148;12;;;24;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
минская мебельная фабрика каталог мебели с ценами;Белорусская мебель;коммерческий;;12;12;;;13;/catalog/myagkaya-mebel;arsenkin_sem+keysso
белорус мебель;Белорусская мебель;общий;;95;12;;;7;/catalog/myagkaya-mebel;arsenkin_sem+keysso
пинскдрев архангельск каталог товаров архангельск официальный;Бренд;бренд;да;25;12;;;4;/catalog/myagkaya-mebel;arsenkin_sem+keysso
верди люкс;Прочее;общий;;427;12;;;30;/catalog/mebel-pod-zakaz/kollektsiya-verdi-klassik;arsenkin_sem+keysso
пинскдрев кровать тунис;Бренд;бренд;;24;12;;;2;/catalog/mebel-pod-zakaz/kollektsiya-tunis;arsenkin_sem+keysso
матрас 160х200 ами мебель;Матрасы;общий;;254;12;;;24;/catalog/matrasyi/f/dlina_matrasa-ot-200/shirina_matrasa-ot-160-do-160;arsenkin_sem+keysso
фурнитура пинск;Бренд;бренд;;67;12;;;29;/catalog/kuhni/komplektuyuschie-dlya-kuhon/krep-jnaya-i-dopolnitelnaya-furnitura;arsenkin_sem+keysso
кухни угловые готовые фабричные белорусских производителей недорого;Диваны угловые;коммерческий;;12;12;;;4;/catalog/kuhni;arsenkin_sem+keysso
комод гранд сборка;Комоды и тумбы;общий;;96;12;;;37;/catalog/korpusnaya-mebel/tumbyi/komod-grande-p622-04;arsenkin_sem+keysso
пинскдрев табурет;Бренд;бренд;;27;12;;;1;/catalog/korpusnaya-mebel/stulya/f/type--taburet;arsenkin_sem+keysso
купить стулья классика;Столы и стулья;коммерческий;;583;12;;;22;/catalog/korpusnaya-mebel/stulya/f/stil--klassika;arsenkin_sem+keysso
письменный стол из массива с ящиками;Столы и стулья;общий;;186;12;;;26;/catalog/korpusnaya-mebel/stolyi/f/type--stol-pismennyiy;arsenkin_sem+keysso
дубовый шкаф купить;Шкафы;коммерческий;;90;12;;;10;/catalog/korpusnaya-mebel/shkafyi/f/massiv--dub;arsenkin_sem+keysso
прихожая беларусь мебель;Прихожие;общий;;62;12;;;5;/catalog/korpusnaya-mebel/prihojie;arsenkin_sem+keysso
купить классическую мебель в гостиную;Гостиные и стенки;коммерческий;;122;12;;;31;/catalog/korpusnaya-mebel/mebel-dlya-gostinoy/f/stil--klassika;arsenkin_sem+keysso
полка из доски на стену;Прочее;общий;;264;12;;;9;/catalog/korpusnaya-mebel/dekorativnyie-elementyi/f/type--polka;arsenkin_sem+keysso
когда переворачивать матрас для ребенка на мягкую сторону;Матрасы;общий;;18;12;;;26;/blog/zachem-perevorachivat-matras;arsenkin_sem+keysso
диван кровать рейтинг;Диваны;инфо;;260;12;;;25;/blog/top-samyih-populyarnyih-divanov-v-2023-godu;arsenkin_sem+keysso
место для чтения в квартире;Прочее;общий;;14;12;;;36;/blog/sozda-m-ugolok-dlya-chteniya;arsenkin_sem+keysso
как ухаживать за кожаной мебелью в домашних условиях;Диваны кожаные;инфо;;12;12;;;44;/blog/sovetyi-vladeltsam-kojanoy-mebeli;arsenkin_sem+keysso
как правильно собирать мебель;Мебель общ.;инфо;;220;12;;;10;/blog/obschie-pravila-po-sborke-mebeli;arsenkin_sem+keysso
комод с мягкой обивкой;Комоды и тумбы;общий;;47;12;;;36;/blog/komod-brando-v-myagkoy-obivke;arsenkin_sem+keysso
какие бывают диваны описание механизмов раскладки и фото;Диваны;инфо;;12;12;;;9;/blog/kakie-byivayut-mehanizmyi-divanov;arsenkin_sem+keysso
смазка для кресла от скрипа;Кресла;общий;;13;12;;;36;/blog/chto-delat-esli-skripit-divan;arsenkin_sem+keysso
какие цветы должны стоять в спальне;Спальни;инфо;;31;12;;;20;/blog/5-poleznyih-rasteniy-dlya-spalni;arsenkin_sem+keysso
белорусская мебель отзывы;Белорусская мебель;инфо;;175;12;;;41;/;arsenkin_sem+keysso
дом мебели нарвский каталог товаров;Мебель общ.;коммерческий;;395;12;;;41;/;arsenkin_sem+keysso
мебельные производители;Фабрика/производитель;общий;;3799;12;;13;31;/;arsenkin_sem+keysso
пинскдрев светлогорск;Бренд;бренд;;85;12;;;2;/;arsenkin_sem+keysso
белорусский мебельный магазин;Белорусская мебель;коммерческий;;162;12;;;1;/;arsenkin_sem+keysso
белый угловой диван;Диваны угловые;общий;;;11;1025;;;;expand
угловой диван 180;Диваны угловые;общий;;;11;1019;;;;expand
мебельная фабрика тэкс;Фабрика/производитель;общий;;;11;1008;;;;expand
тахта кровать детская;Тахты и кушетки;общий;;;11;746;;;;expand
угловой диван с ящиками для хранения;Диваны угловые;общий;;574;11;737;;19;/catalog/myagkaya-mebel/divanyi-uglovyie/f/s_yashhikom--est;arsenkin_sem+expand+keysso
фасады для кухни из массива;Кухни;общий;;;11;604;;;;expand
кресло напротив кровати;Кресла;общий;;;11;582;;;;expand
остановка мебельная фабрика;Фабрика/производитель;общий;;;11;561;;;;expand
тахта мем;Тахты и кушетки;общий;;;11;547;;;;expand
кресло кровать уют;Кресла-кровати;общий;;;11;545;;;;expand
диван угловой выкатной;Диваны угловые;общий;;;11;542;;;;expand
угловой диван комфорт;Диваны угловые;общий;;;11;527;;;;expand
мебельная фабрика веста;Фабрика/производитель;общий;;;11;525;;;;expand
белорусская мебель стол;Столы и стулья;общий;;;11;519;;;;expand
стенка в гостиную классика;Гостиные и стенки;общий;;;11;515;;;;expand
кресло кровать малогабаритное;Кресла-кровати;общий;;;11;463;;;;expand
мирлачева мебельная фабрика официальный сайт;Фабрика/производитель;коммерческий;;;11;455;;;;expand
давита мебель мебельная фабрика официальный сайт;Фабрика/производитель;коммерческий;;;11;440;;;;expand
диван угловой 4 метра;Диваны угловые;общий;;;11;395;;;;expand
купить стенку в гостиную в воронеже;Гостиные и стенки;коммерческий;да;;11;392;;;;expand
угловой диван с высокой спинкой;Диваны угловые;общий;;;11;373;;;;expand
мебельная фабрика пинскдрев;Бренд;бренд;;385;11;353;;1;/;arsenkin_sem+expand+keysso
бирюзовый угловой диван;Диваны угловые;общий;;;11;339;;;;expand
кресло кровать для взрослых;Кресла-кровати;общий;;;11;328;;;;expand
тахта юля;Тахты и кушетки;общий;;;11;324;;;;expand
диван кровать из массива;Диваны;общий;;;11;319;;;;expand
кресло кровать белое;Кресла-кровати;общий;;;11;287;;;;expand
мебель из мореного дуба;Мебель из массива;общий;;;11;278;;;;expand
сколько стоит тахта;Тахты и кушетки;инфо;;163;11;273;;18;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+expand+keysso
мебель производства белоруссии;Белорусская мебель;общий;;180;11;178;;1;/;arsenkin_sem+expand+keysso
дизайн гостиной с угловым диваном;Диваны угловые;инфо;;109;11;127;;5;http://pinskdrev.ru/blog/kak-raspolojit-uglovoy-divan-v-gostinoy;arsenkin_sem+expand
классическая мебель из массива;Мебель из массива;общий;;90;11;81;;23;http://pinskdrev.ru/catalog/korpusnaya-mebel/mebel-dlya-gostinoy/f/stil--klassika;arsenkin_sem+expand
набор диван и кресло кровать;Кресла-кровати;общий;;70;11;67;;15;/catalog/myagkaya-mebel/naboryi-myagkoy-mebeli;arsenkin_sem+expand+keysso
